rank_2021,rank_2024,title,year,run_time,IMBD_rating_2021,IMBD_rating_2024,average_rating,genre,budget,box_office,popularity_score,metascore,oscars,url
1,1,the shawshank redemption,1994,142,9.3,9.3,9.3,Drama,25000000.0,28884504.0,62.0,82.0,,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2,2,the godfather,1972,175,9.2,9.2,9.2,"Crime,Drama",6000000.0,250341816.0,57.0,100.0,3.0,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3,3,the dark knight,2008,152,9.0,9.0,9.0,"Action,Crime,Drama",185000000.0,1006234167.0,101.0,84.0,2.0,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4,4,the godfather part ii,1974,202,9.0,9.0,9.0,"Crime,Drama",13000000.0,47961919.0,185.0,90.0,6.0,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
6,7,schindler's list,1993,195,9.0,9.0,9.0,"Biography,Drama,History",22000000.0,322161245.0,211.0,95.0,7.0,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_5
7,6,the lord of the rings: the return of the king,2003,201,9.0,9.0,9.0,"Action,Adventure,Drama",94000000.0,1146457748.0,233.0,94.0,11.0,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
5,5,12 angry men,1957,96,9.0,9.0,9.0,"Crime,Drama",350000.0,955.0,254.0,97.0,,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_7
9,9,the lord of the rings: the fellowship of the ring,2001,178,8.8,8.9,8.850000000000001,"Action,Adventure,Drama",93000000.0,898204420.0,105.0,92.0,4.0,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8
8,8,pulp fiction,1994,154,8.9,8.9,8.9,"Crime,Drama",8000000.0,213928762.0,137.0,95.0,1.0,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9
14,14,inception,2010,148,8.8,8.8,8.8,"Action,Adventure,Sci-Fi",160000000.0,836848102.0,126.0,74.0,4.0,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_10
12,13,fight club,1999,139,8.8,8.8,8.8,Drama,63000000.0,101209702.0,162.0,67.0,,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_11
11,11,forrest gump,1994,142,8.8,8.8,8.8,"Drama,Romance",55000000.0,678226465.0,208.0,82.0,6.0,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_12
13,12,the lord of the rings: the two towers,2002,179,8.8,8.8,8.8,"Action,Adventure,Drama",94000000.0,947944270.0,386.0,87.0,2.0,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13
10,10,"the good, the bad and the ugly",1966,178,8.8,8.8,8.8,"Adventure,Western",1200000.0,25253887.0,503.0,90.0,,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_14
25,19,interstellar,2014,169,8.6,8.7,8.649999999999999,"Adventure,Drama,Sci-Fi",165000000.0,773867216.0,33.0,74.0,1.0,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_16
17,17,goodfellas,1990,145,8.7,8.7,8.7,"Biography,Crime,Drama",25000000.0,47036784.0,122.0,92.0,1.0,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
16,16,the matrix,1999,136,8.7,8.7,8.7,"Action,Sci-Fi",63000000.0,467222728.0,235.0,73.0,4.0,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_18
18,18,one flew over the cuckoo's nest,1975,133,8.7,8.7,8.7,Drama,3000000.0,109114817.0,365.0,84.0,5.0,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
15,15,star wars: episode v - the empire strikes back,1980,124,8.7,8.7,8.7,"Action,Adventure,Fantasy",18000000.0,538375067.0,954.0,82.0,1.0,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_20
234,224,jai bhim,2021,164,8.8,8.7,8.75,"Crime,Drama,Mystery",,,2834.0,,,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_21
19,20,se7en,1995,127,8.6,8.6,8.6,"Crime,Drama,Mystery",33000000.0,327333559.0,176.0,65.0,,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_22
24,24,saving private ryan,1998,169,8.6,8.6,8.6,"Drama,War",70000000.0,482349603.0,181.0,91.0,5.0,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_23
27,26,the green mile,1999,189,8.6,8.6,8.6,"Crime,Drama,Fantasy",60000000.0,286801374.0,188.0,61.0,,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_24
22,23,the silence of the lambs,1991,118,8.6,8.6,8.6,"Crime,Drama,Thriller",19000000.0,272742922.0,191.0,86.0,5.0,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_25
23,25,city of god,2002,130,8.6,8.6,8.6,"Crime,Drama",3300000.0,30680793.0,294.0,79.0,,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_27
29,28,terminator 2: judgment day,1991,137,8.6,8.6,8.6,"Action,Sci-Fi",102000000.0,520881154.0,316.0,75.0,4.0,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
21,21,it's a wonderful life,1946,130,8.6,8.6,8.6,"Drama,Family,Fantasy",3180000.0,8574081.0,426.0,89.0,,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_30
28,29,star wars: episode iv - a new hope,1977,121,8.6,8.6,8.6,"Action,Adventure,Fantasy",11000000.0,775398007.0,430.0,90.0,6.0,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_31
26,27,life is beautiful,1997,116,8.6,8.6,8.6,"Comedy,Drama,Romance",20000000.0,230098753.0,736.0,58.0,3.0,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_32
20,22,seven samurai,1954,207,8.6,8.6,8.6,"Action,Drama",125000000.0,346258.0,1239.0,98.0,,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_33
45,44,harakiri,1962,133,8.6,8.6,8.6,"Action,Drama,Mystery",,,1687.0,85.0,,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_34
37,35,gladiator,2000,155,8.5,8.5,8.5,"Action,Adventure,Drama",103000000.0,503162313.0,8.0,67.0,5.0,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_35
39,37,the departed,2006,151,8.5,8.5,8.5,"Crime,Drama,Thriller",90000000.0,291480452.0,186.0,85.0,4.0,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_37
55,54,django unchained,2012,165,8.4,8.5,8.45,"Drama,Western",100000000.0,426074373.0,189.0,81.0,2.0,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_38
34,33,parasite,2019,132,8.5,8.5,8.5,"Drama,Thriller",11400000.0,262676096.0,195.0,97.0,4.0,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_39
35,42,léon: the professional,1994,110,8.5,8.5,8.5,"Action,Crime,Drama",115000000.0,19569225.0,202.0,64.0,,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40
51,51,alien,1979,117,8.5,8.5,8.5,"Horror,Sci-Fi",11000000.0,106285522.0,207.0,89.0,1.0,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_41
42,40,whiplash,2014,106,8.5,8.5,8.5,"Drama,Music",3300000.0,49396747.0,222.0,89.0,3.0,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42
30,30,back to the future,1985,116,8.5,8.5,8.5,"Adventure,Comedy,Sci-Fi",19000000.0,383336762.0,238.0,87.0,1.0,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_43
