rank_2021,title,year,IMBD_rating_2021,genre,run_time,budget,box_office
1,The Shawshank Redemption,1994,9.3,Drama,2h 22m,25000000.0,28884504.0
2,The Godfather,1972,9.2,"Crime,Drama",2h 55m,6000000.0,250341816.0
3,The Dark Knight,2008,9.0,"Action,Crime,Drama",2h 32m,185000000.0,1006234167.0
4,The Godfather Part II,1974,9.0,"Crime,Drama",3h 22m,13000000.0,47961919.0
5,12 Angry Men,1957,9.0,"Crime,Drama",1h 36m,350000.0,955.0
6,Schindler's List,1993,9.0,"Biography,Drama,History",3h 15m,22000000.0,322161245.0
7,The Lord of the Rings: The Return of the King,2003,9.0,"Action,Adventure,Drama",3h 21m,94000000.0,1146457748.0
8,Pulp Fiction,1994,8.9,"Crime,Drama",2h 34m,8000000.0,213928762.0
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama",2h 58m,93000000.0,898204420.0
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western",2h 58m,1200000.0,25253887.0
11,Forrest Gump,1994,8.8,"Drama,Romance",2h 22m,55000000.0,678226465.0
12,Fight Club,1999,8.8,Drama,2h 19m,63000000.0,101209702.0
13,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama",2h 59m,94000000.0,947944270.0
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",2h 28m,160000000.0,836848102.0
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",2h 4m,18000000.0,538375067.0
16,The Matrix,1999,8.7,"Action,Sci-Fi",2h 16m,63000000.0,467222728.0
17,Goodfellas,1990,8.7,"Biography,Crime,Drama",2h 25m,25000000.0,47036784.0
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,2h 13m,3000000.0,109114817.0
19,Se7en,1995,8.6,"Crime,Drama,Mystery",2h 7m,33000000.0,327333559.0
20,Seven Samurai,1954,8.6,"Action,Drama",3h 27m,125000000.0,346258.0
21,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy",2h 10m,3180000.0,8574081.0
22,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller",1h 58m,19000000.0,272742922.0
23,City of God,2002,8.6,"Crime,Drama",2h 10m,3300000.0,30680793.0
24,Saving Private Ryan,1998,8.6,"Drama,War",2h 49m,70000000.0,482349603.0
25,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi",2h 49m,165000000.0,773867216.0
26,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance",1h 56m,20000000.0,230098753.0
27,The Green Mile,1999,8.6,"Crime,Drama,Fantasy",3h 9m,60000000.0,286801374.0
28,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy",2h 1m,11000000.0,775398007.0
29,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi",2h 17m,102000000.0,520881154.0
30,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",1h 56m,19000000.0,383336762.0
31,Spirited Away,2001,8.6,"Animation,Adventure,Family",2h 5m,19000000.0,355822319.0
32,The Pianist,2002,8.5,"Biography,Drama,Music",2h 30m,35000000.0,120072577.0
33,Psycho,1960,8.5,"Horror,Mystery,Thriller",1h 49m,806947.0,32052925.0
34,Parasite,2019,8.5,"Drama,Thriller",2h 12m,11400000.0,262676096.0
35,Léon: The Professional,1994,8.5,"Action,Crime,Drama",1h 50m,115000000.0,19569225.0
36,The Lion King,1994,8.5,"Animation,Adventure,Drama",1h 28m,45000000.0,968511805.0
37,Gladiator,2000,8.5,"Action,Adventure,Drama",2h 35m,103000000.0,503162313.0
38,American History X,1998,8.5,"Crime,Drama",1h 59m,20000000.0,23875127.0
39,The Departed,2006,8.5,"Crime,Drama,Thriller",2h 31m,90000000.0,291480452.0
40,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery",1h 46m,6000000.0,23341568.0
41,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi",2h 10m,40000000.0,109676311.0
42,Whiplash,2014,8.5,"Drama,Music",1h 46m,3300000.0,49396747.0
43,Casablanca,1942,8.5,"Drama,Romance,War",1h 42m,950000.0,4626532.0
44,Grave of the Fireflies,1988,8.5,"Animation,Drama,War",1h 29m,3700000.0,516962.0
45,Harakiri,1962,8.6,"Action,Drama,Mystery",2h 13m,,
46,The Intouchables,2011,8.5,"Biography,Comedy,Drama",1h 52m,9500000.0,426588510.0
47,Modern Times,1936,8.5,"Comedy,Drama,Romance",1h 27m,1500000.0,463618.0
48,Once Upon a Time in the West,1968,8.5,Western,2h 45m,5000000.0,5435024.0
49,Rear Window,1954,8.5,"Mystery,Thriller",1h 52m,1000000.0,37034579.0
50,Cinema Paradiso,1988,8.5,"Drama,Romance",2h 35m,5000000.0,13019063.0
51,Alien,1979,8.5,"Horror,Sci-Fi",1h 57m,11000000.0,106285522.0
52,City Lights,1931,8.5,"Comedy,Drama,Romance",1h 27m,1500000.0,50419.0
53,Apocalypse Now,1979,8.5,"Drama,Mystery,War",2h 27m,31500000.0,104880868.0
54,Memento,2000,8.4,"Mystery,Thriller",1h 53m,9000000.0,40047078.0
55,Django Unchained,2012,8.4,"Drama,Western",2h 45m,100000000.0,426074373.0
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,"Action,Adventure",1h 55m,18000000.0,389925971.0
57,WALL·E,2008,8.4,"Animation,Adventure,Family",1h 38m,180000000.0,521311890.0
58,The Lives of Others,2006,8.4,"Drama,Mystery,Thriller",2h 17m,2000000.0,77356942.0
59,Sunset Blvd.,1950,8.4,"Drama,Film-Noir",1h 50m,1752000.0,300073.0
60,Paths of Glory,1957,8.4,"Drama,War",1h 28m,935000.0,5252.0
61,The Shining,1980,8.4,"Drama,Horror",2h 26m,19000000.0,47335804.0
62,The Great Dictator,1940,8.4,"Comedy,Drama,War",2h 5m,2000000.0,970263.0
63,Avengers: Infinity War,2018,8.4,"Action,Adventure,Sci-Fi",2h 29m,321000000.0,2052415039.0
64,Witness for the Prosecution,1957,8.4,"Crime,Drama,Mystery",1h 56m,3000000.0,7693.0
65,Aliens,1986,8.4,"Action,Adventure,Sci-Fi",2h 17m,18500000.0,131060248.0
